blockchain,address,date,generatedRewards,generatedCommission,action,tags,asset,hash
cosmos,cosmos122j3zmqdl6d2g64qmjuqzj65gfejsvjp22s27q,2023-04-09,0,5.486847450750232,Accrued daily commission,['COS_VALIDATOR'],ATOM,cosmosvaloper122j3zmqdl6d2g64qmjuqzj65gfejsvjp07yljn-commission-1681084799.053439
cosmos,cosmos122j3zmqdl6d2g64qmjuqzj65gfejsvjp22s27q,2023-04-09,0.0013089272023303201,0,Accrued daily rewards,['COS_VALIDATOR'],ATOM,cosmosvaloper122j3zmqdl6d2g64qmjuqzj65gfejsvjp07yljn-rewards-1681084799.053439
cosmos,cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,2023-04-09,0,225.2713817994547,Accrued daily commission,[],ATOM,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0-commission-1681084799.053439
cosmos,cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,2023-04-09,74.47779644126499,0,Accrued daily rewards,[],ATOM,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0-rewards-1681084799.053439
cosmos,cosmos18fxad5suew67h4upymy0nm36m99k8jfltq2ptp,2023-04-09,22.71029124218343,0,Accrued daily rewards,['LIGHTNINGCAPITAL-COSMOS-01'],ATOM,cosmosvaloper1ha8d55747h8hsaluvz8ld88n24nfaw68rx4x92-rewards-1681084799.053439
cosmos,cosmos19rmlxkqjt950fxl849l49x0me56u9tkd38q8ke,2023-04-09,0,68.01676896627664,Accrued daily commission,['ROADCAPITAL-COSMOS-01'],ATOM,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62-commission-1681084799.053439
cosmos,cosmos19rmlxkqjt950fxl849l49x0me56u9tkd38q8ke,2023-04-09,6.082300018926106e-10,0,Accrued daily rewards,['ROADCAPITAL-COSMOS-01'],ATOM,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62-rewards-1681084799.053439
cosmos,cosmos1keltez56g3zm9w8wr8gcmmulze48g2q3eygmtt,2023-04-09,0,15.775055397966593,Accrued daily commission,['CRYPT0-COSMOS'],ATOM,cosmosvaloper1keltez56g3zm9w8wr8gcmmulze48g2q3usuw8c-commission-1681084799.053439
cosmos,cosmos1keltez56g3zm9w8wr8gcmmulze48g2q3eygmtt,2023-04-09,0.001256176185694243,0,Accrued daily rewards,['CRYPT0-COSMOS'],ATOM,cosmosvaloper1keltez56g3zm9w8wr8gcmmulze48g2q3usuw8c-rewards-1681084799.053439
cosmos,cosmos1yn0dfvvxaalfmrd6eulgfw0efre4zmmnhwmxyk,2023-04-09,295.578020813488,0,Accrued daily rewards,[],ATOM,cosmosvaloper1crqm3598z6qmyn2kkcl9dz7uqs4qdqnr6s8jdn-rewards-1681084799.053439
cosmos,cosmos1ha8d55747h8hsaluvz8ld88n24nfaw68xjpnfe,2023-04-09,0,2.6859375385326483,Accrued daily commission,['LIGHTNINGCAPITAL-COSMOS-01'],ATOM,cosmosvaloper1ha8d55747h8hsaluvz8ld88n24nfaw68rx4x92-commission-1681084799.053439
cosmos,cosmos1ha8d55747h8hsaluvz8ld88n24nfaw68xjpnfe,2023-04-09,0.0013107934852164872,0,Accrued daily rewards,['LIGHTNINGCAPITAL-COSMOS-01'],ATOM,cosmosvaloper1ha8d55747h8hsaluvz8ld88n24nfaw68rx4x92-rewards-1681084799.053439
cosmos,cosmos1c4k24jzduc365kywrsvf5ujz4ya6mwymy8vq4q,2023-04-09,0,-2.180897971302569,Accrued daily commission,['CRYPTO-RELIABILITY-MAINNET'],ATOM,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en-commission-1681084799.053439
cosmos,cosmos1c4k24jzduc365kywrsvf5ujz4ya6mwymy8vq4q,2023-04-09,-9.736232460300016e-07,0,Accrued daily rewards,['CRYPTO-RELIABILITY-MAINNET'],ATOM,cosmosvaloper1c4k24jzduc365kywrsvf5ujz4ya6mwympnc4en-rewards-1681084799.053439
cosmos,cosmos13nvnv6q8d3yg7tjeahjzljkqu0y27s8yqd2guk,2023-04-09,0,433.5169270669327,Accrued daily commission,['HAUNVENTURES-COSMOS-01'],ATOM,cosmosvaloper13nvnv6q8d3yg7tjeahjzljkqu0y27s8y9e7as9-commission-1681084799.053439
cosmos,cosmos1nwqx9h5fuctqd56h0kjpyyrgk3v4sg9m4fcs9v,2023-04-09,31.404404642356873,0,Accrued daily rewards,['CRYPT0-COSMOS'],ATOM,cosmosvaloper1keltez56g3zm9w8wr8gcmmulze48g2q3usuw8c-rewards-1681084799.053439
